,y_true,gb_forecaster,rt_forecaster,sv_forecaster,nn_forecaster,prophet_forecaster
2020-12-28,3477915.0,,,,,6045356.684006441
2021-01-04,5954911.0,,,,,5321524.624675658
2021-01-11,5290184.0,,,,,4501715.355689334
2021-01-18,5198886.0,,,,,4136643.675676072
2021-01-25,5001373.0,,,,,4424943.53767317
2021-02-01,5085755.0,,,,,5162512.302628808
2021-02-08,6265739.0,,,,,6028134.385557266
2021-02-15,6530810.0,,,,,6841653.500856496
2021-02-22,6751145.0,,,,,7575786.6414400535
2021-03-01,7171763.0,,,,,8232463.026720071
2021-03-08,8192430.0,,,,,8788377.656207351
2021-03-15,9330659.0,,,,,9233295.38198394
2021-03-22,9612354.0,,,,,9581475.035463922
2021-03-29,9947200.0,,,,,9821990.341408677
2021-04-05,10027198.0,,,,,9913925.78220899
2021-04-12,9601049.0,,,,,9881710.250539582
2021-04-19,9557660.0,,,,,9885891.489629794
2021-04-26,9762900.0,,,,,10122303.849415038
2021-05-03,10387317.0,,,,,10620531.143493747
2021-05-10,11340363.0,,,,,11189549.997705316
2021-05-17,11719475.0,,,,,11617040.79040376
2021-05-24,11971922.0,,,,,11906804.460045228
2021-05-31,12604290.0,,,,,12255550.651671657
2021-06-07,13049786.0,,,,,12776864.630220773
2021-06-14,13626048.0,,,,,13314284.236109957
2021-06-21,14053552.0,,,,,13566513.262667863
2021-06-28,13805774.0,,,,,13535088.851316012
2021-07-05,14421599.0,,,,,13498328.683571028
2021-07-12,14481143.0,,,,,13735708.511139326
2021-07-19,14644468.0,,,,,14168061.113616223
2021-07-26,14564714.0,,,,,14332360.907733215
2021-08-02,14090567.0,,,,,13997973.746312901
2021-08-09,13615952.0,,,,,13306000.517427491
2021-08-16,12895026.0,,,,,12686299.960362347
2021-08-23,11961382.0,,,,,12372008.381187748
2021-08-30,11712744.0,,,,,12308119.186690364
2021-09-06,11978534.0,,,,,12263460.55909196
2021-09-13,11781312.0,,,,,12225899.06786661
2021-09-20,12203548.0,,,,,12404246.015039917
2021-09-27,12240743.0,,,,,12871045.330358488
2021-10-04,12885487.0,,,,,13361117.710492617
2021-10-11,13550038.0,,,,,13480157.624392241
2021-10-18,13216532.0,,,,,13162038.772956368
2021-10-25,12346642.0,,,,,12780334.715123864
2021-11-01,12757794.0,,,,,12748891.98326831
2021-11-08,13033862.0,,,,,13066147.72638066
2021-11-15,13669840.0,,,,,13330270.738275478
2021-11-22,14481964.0,,,,,13223087.477156663
2021-11-29,13201667.0,,,,,12884654.437749956
2021-12-06,12742867.0,,,,,12733573.321714686
2021-12-13,13878713.0,,,,,12945236.11409733
2021-12-20,13723772.0,,,,,13197822.461523315
2021-12-27,13494645.0,13701200.235354396,13402957.063564554,12492746.48204942,13186585.065416131,12992727.029467165
2022-01-03,11315710.0,11416111.932211354,12609948.256997114,12514837.208558148,12957763.540570226,12192228.719187113
2022-01-10,9962790.0,11238488.687945813,11937786.916699857,11214425.179492142,11059584.049939808,11191019.719770303
2022-01-17,10089032.0,11238488.687945813,11651000.910969697,10505785.974340916,10568808.704412043,10563150.584522624
2022-01-24,9646184.0,11238488.687945813,11584085.388588745,10331103.90850997,10721214.597677762,10587337.298726656
2022-01-31,10052237.0,11238488.687945813,11584085.388588745,10387242.025625616,10673100.579668956,11115922.823322283
2022-02-07,11287535.0,12525801.292849926,11819337.736977633,11620876.11802167,12008504.711621575,11824056.796003668
2022-02-14,13075587.0,12634042.681149844,12180911.603781385,12195892.63547516,12246512.920963632,12498268.309662368
2022-02-21,13848265.0,12634042.681149844,12800922.294017315,12972627.921468865,13244415.432454078,13092289.780868018
