,y_true,ets_forecaster,arima_forecaster
2020-12-28,3477915.0,3478501.0536021385,10148181.740620263
2021-01-04,5954911.0,4437539.966895226,5536389.35242394
2021-01-11,5290184.0,5671466.521149671,5984468.6846935805
2021-01-18,5198886.0,5903375.397307098,6002465.880053105
2021-01-25,5001373.0,5509491.125341177,5814255.555171028
2021-02-01,5085755.0,5541076.169551663,5662601.8944909815
2021-02-08,6265739.0,6368408.454028565,5686675.514925018
2021-02-15,6530810.0,7702377.026485368,6527569.002923736
2021-02-22,6751145.0,7429213.39568166,6942791.8478025645
2021-03-01,7171763.0,6752296.6548231,7150608.482613619
2021-03-08,8192430.0,8089650.225430355,7489197.517240618
2021-03-15,9330659.0,9059549.233178806,8283991.490591242
2021-03-22,9612354.0,9416654.76245566,9276213.465917405
2021-03-29,9947200.0,9632273.553178778,9694961.452408291
2021-04-05,10027198.0,9986560.41219683,9985677.433580179
2021-04-12,9601049.0,9993881.647090694,10109266.553323878
2021-04-19,9557660.0,9694636.978827015,9831491.198015533
2021-04-26,9762900.0,9387476.317485593,9722589.707660414
2021-05-03,10387317.0,9904647.794909663,9860471.36998127
2021-05-10,11340363.0,11051343.617676742,10337990.609612808
2021-05-17,11719475.0,11766697.96287892,11124987.052587088
2021-05-24,11971922.0,11745117.199338697,11575856.403402958
2021-05-31,12604290.0,12077711.246215515,11827993.747228244
2021-06-07,13049786.0,13020502.077108478,12320141.772884013
2021-06-14,13626048.0,13459635.751627963,12755429.310568094
2021-06-21,14053552.0,13924299.083946994,13245722.785172727
2021-06-28,13805774.0,13789887.879031688,13657678.7574464
2021-07-05,14421599.0,13359223.035295045,13570996.735777784
2021-07-12,14481143.0,15001473.31740466,13955255.726910269
2021-07-19,14644468.0,14673566.016266543,14118744.085954256
2021-07-26,14564714.0,14539649.919741174,14247285.593640495
2021-08-02,14090567.0,14117933.052943103,14226645.73879671
2021-08-09,13615952.0,13693178.902127223,13884686.573619362
2021-08-16,12895026.0,13063506.773855671,13466416.191627108
2021-08-23,11961382.0,12161805.181918198,12876629.990429077
2021-08-30,11712744.0,11510460.260051448,12091342.569133155
2021-09-06,11978534.0,11968200.17075338,11741817.210410882
2021-09-13,11781312.0,11990124.402911637,11882295.81900682
2021-09-20,12203548.0,12074349.979186965,11799642.841545276
2021-09-27,12240743.0,11844436.925112171,12058909.578927048
2021-10-04,12885487.0,12882358.559031045,12169545.937360968
2021-10-11,13550038.0,13514101.622695452,12628835.91370919
2021-10-18,13216532.0,13238660.333942546,13218964.095488548
2021-10-25,12346642.0,12464465.93347998,13118288.27850704
2021-11-01,12757794.0,11966931.955185885,12452013.932846848
2021-11-08,13033862.0,13199490.07350288,12573967.31696038
2021-11-15,13669840.0,13543732.033411348,12848717.1925849
2021-11-22,14481964.0,13916236.36977662,13347928.60497633
2021-11-29,13201667.0,13168846.388799874,14039074.62203234
2021-12-06,12742867.0,12917318.890553417,13307890.489495154
2021-12-13,13878713.0,13687206.31896076,12745310.482039817
2021-12-20,13723772.0,13989998.440273374,13450833.291927965
2021-12-27,13494645.0,13682896.718912631,8912863.699668111
2022-01-03,11315710.0,12837221.968450941,13671227.806467839
2022-01-10,9962790.0,9738402.186927984,11337845.224295463
2022-01-17,10089032.0,9540739.486656178,9903615.700397458
2022-01-24,9646184.0,9571506.548431462,9727728.474039325
2022-01-31,10052237.0,9523462.19953231,9611870.597822256
2022-02-07,11287535.0,10805004.4070803,10618774.391026493
2022-02-14,13075587.0,12300213.716356453,11158515.284516536
2022-02-21,13848265.0,13634948.091853362,12508417.671775844
2022-02-28,13572793.0,13578381.845675606,13542498.552361917
2022-03-07,14305252.0,14273828.294926964,13978780.170995396
2022-03-14,15113644.0,14998893.783452233,14678416.320423523
2022-03-21,14903923.0,15060836.95346829,14889975.686379598
2022-03-28,14412521.0,14812810.467392137,14844643.969309656
2022-04-04,14789238.0,14363009.696090724,14318664.388192832
2022-04-11,14913539.0,14684740.728087012,14106142.270261781
2022-04-18,15128063.0,14950253.061259773,14432111.698439265
2022-04-25,14778505.0,14912450.376227831,14827869.800632931
2022-05-02,14610933.0,14883918.694135608,14968666.286114594
2022-05-09,15264956.0,15245842.404591735,15119763.21185125
2022-05-16,15529258.0,15667926.37155666,15261568.911236554
2022-05-23,15441423.0,15536235.987416092,15436527.128901318
2022-05-30,15421650.0,15532287.001167802,15694920.745702537
2022-06-06,15980327.0,15825844.79783099,15635097.597882103
2022-06-13,16194945.0,16380555.969219517,16121838.358269349
2022-06-20,16382612.0,16485503.745287875,16338449.202717628
2022-06-27,15988849.0,16112763.217290547,16053658.634397283
2022-07-04,15556716.0,15537433.426769042,16309151.01533705
2022-07-11,16080383.0,16132497.869962849,15709452.138709644
2022-07-18,16322221.0,16269592.075109465,15993939.117340611
2022-07-25,16346340.0,16214838.123000871,16121261.726450182
2022-08-01,15928523.0,15897503.296332426,15871729.502097476
2022-08-08,15622309.0,15529496.955199491,15496462.416381456
2022-08-15,15401455.0,15068550.218053097,14995151.287841164
2022-08-22,14975557.0,14667190.479518704,14546012.628246156
2022-08-29,14565898.0,14523867.472880919,14584750.25671507
2022-09-05,14848227.0,14820739.140412297,14650152.945499342
2022-09-12,14994653.0,14859306.511441166,14535580.094625158
2022-09-19,15104998.0,15287321.393997142,15047432.63605192
2022-09-26,14088736.0,14745624.735582326,15000950.195117649
2022-10-03,15192223.0,14730085.181990175,14690848.214524373
2022-10-10,15835492.0,15820561.288966978,15409612.23775961
2022-10-17,15634975.0,15523923.075867282,15429096.624587623
2022-10-24,15056398.0,14882747.299398748,14880366.35213621
2022-10-31,14649052.0,14676649.152275331,15193942.450923475
2022-11-07,14879308.0,15090610.32436003,14909861.217275474
2022-11-14,15541603.0,15389095.187125623,15246980.836452737
2022-11-21,15424134.0,15787946.845495073,15973931.811497558
2022-11-28,14534137.0,14110918.149997227,14648136.761384647
2022-12-05,14465275.0,14249647.175172178,14199473.392816544
2022-12-12,15314348.0,15409570.619829433,15168093.087981738
2022-12-19,15007790.0,15425570.156882087,15149001.440729775
2022-12-26,15094764.0,14966882.812689334,12922101.874184623
2023-01-02,14786417.0,14437175.621943347,13599589.758904248
2023-01-09,13759193.0,13209209.360500265,13223836.508356452
